source,target,weight
380,490,0.0705297326106
169,418,0.457562703902
242,440,0.460955971941
489,426,0.0728920569048
605,400,0.0
28,418,0.380425684636
312,507,0.0
1175,461,0.387589503726
1340,506,0.40402833876
380,382,0.0211168867832
114,505,0.154484911413
535,400,0.0
362,423,0.0
1729,403,0.0
454,471,0.0881525640247
809,382,0.138456080579
131,399,0.250897149018
809,426,0.0
743,425,0.496958175705
1524,505,0.336128526596
597,448,0.428533695461
608,404,0.123405783959
70,507,0.539665620566
188,411,0.0
947,407,0.0
398,416,0.0203903196875
480,497,0.0636912995235
88,425,0.381382642684
1019,399,0.430175601424
139,500,0.0
1272,448,0.293340977046
79,445,0.322789041176
1255,467,0.765240823989
214,486,0.0
383,399,0.168529222302
223,507,0.56654255324
452,437,0.022806489046
692,479,0.0
983,471,0.0215108097284
648,507,0.475550162604
299,407,0.568747428721
477,483,0.00209359294271
534,392,0.15163755755
444,431,0.00429986612105
1075,496,0.292427935062
500,377,0.0596291308524
146,421,0.460115630543
675,421,0.0
264,497,0.109194745431
1255,506,0.406221913074
489,407,0.0
143,883,0.0
875,435,0.290555379431
871,453,0.208431364989
329,505,0.0
202,453,0.0
1613,507,0.416289949685
441,396,0.0
488,388,0.115024893583
288,465,0.0
189,399,0.0
141,453,0.627781131162
183,508,0.416790941426
1012,460,0.0
1142,507,0.428430239642
500,497,0.0
1267,423,0.240504904245
877,421,0.315925139393
64,489,0.535139925768
678,425,0.448739029636
1090,449,0.391811311119
334,467,0.624743242669
1325,442,0.350985723672
115,449,0.382715720171
1340,392,0.402746025394
356,506,0.21536873908
845,423,0.790619115099
319,418,0.0965075211926
326,453,0.208305754616
141,448,0.337246566165
433,467,0.150611599933
83,399,0.0
692,377,0.217581938035
1386,507,0.0
1591,502,0.0
841,403,0.523784556893
726,467,0.240332861312
1291,403,0.0
1055,425,0.0
799,403,0.5123612012
109,490,0.98713846267
700,467,0.164625680877
921,506,0.0
193,507,0.350554242574
118,423,0.0
349,445,1.47680616289
751,508,0.0
426,440,0.00292067960676
420,398,0.182030250097
632,425,0.342812375374
647,468,0.0
999,423,1.30000375443
810,396,0.113020764197
915,467,0.849878475292
192,423,0.379222530404
477,504,0.0203592034829
743,416,0.221696119409
79,456,0.584261316925
188,461,0.296018829812
869,381,0.0
554,425,0.553714970839
202,394,0.317608851006
1362,468,0.209469630583
344,449,0.0
389,489,0.163457925469
290,406,0.0
137,446,0.0
1479,392,0.0
44,506,0.0
796,455,0.0
364,435,0.0
82,496,0.0
1017,1803,0.0
1299,508,0.997016364605
466,397,0.0
544,399,0.18408673103
311,472,0.0
1412,497,0.266935957776
115,497,0.135210737252
1090,508,1.16424887698
1099,449,0.422173799585
201,407,0.0
956,410,0.0
1408,396,0.204598701448
98,392,0.0
1275,440,0.362199042936
729,425,0.475857941074
477,479,0.0055724901475
1348,399,0.0
1352,440,0.419865636224
441,402,0.172169587454
338,500,0.0
433,448,0.0116272458166
1386,418,0.0
1574,508,1.16018163297
1396,401,0.0
482,482,0.0
208,407,0.504800508729
959,465,0.238576048651
25,421,0.0
596,425,0.744947975531
184,507,0.451025740139
1122,426,0.0
330,448,0.29698454277
135,490,0.130882226302
420,383,0.186247331501
893,508,0.0
641,449,0.0
274,403,0.411896803085
1307,399,0.0
130,461,0.414626673683
584,421,0.336392663287
526,472,0.0
281,477,0.0
186,377,0.512664621748
120,421,0.372617112669
1480,497,0.527172269436
728,477,0.220119538188
987,502,0.0
1567,506,0.0
511,502,0.288318383624
399,507,0.222050942294
202,403,0.33543599828
186,392,0.47320443285
